學習條件,招式
基礎,重磅衝撞
基礎,十萬馬力
基礎,拍擊
基礎,驚嚇
基礎,變圓
基礎,擲泥
Lv5,擲泥
Lv9,滾動
Lv13,暗影拳
Lv17,鐵壁
Lv21,跺腳
Lv25,百萬噸重拳
Lv30,震級
Lv35,爆裂拳
Lv40,黑夜魔影
Lv47,詛咒
Lv54,地震
Lv61,臂錘
Lv69,真氣拳
Lv76,潛靈奇襲
HM06,劇毒
HM10,覺醒力量
HM13,冰凍光束
HM15,破壞光線
HM17,守住
HM18,求雨
HM20,神秘守護
HM21,遷怒
HM22,日光束
HM24,十萬伏特
HM26,地震
HM27,報恩
HM29,精神強念
HM30,暗影球
HM31,劈瓦
HM32,影子分身
HM39,岩石封鎖
HM42,硬撐
HM44,睡覺
HM46,小偷
HM47,下盤踢
HM48,輪唱
HM52,真氣彈
HM56,投擲
HM57,充電光束
HM68,終極衝擊
HM69,岩石打磨
HM71,尖石攻擊
HM74,陀螺球
HM76,飛翔
HM78,重踏
HM80,岩崩
HM86,打草結
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM91,加農光炮
HM100,密語
,沒有相關技能
