學習條件,招式
基礎,臂錘
基礎,岩石炮
基礎,角鑽
基礎,毒擊
基礎,角撞
基礎,搖尾巴
基礎,亂擊
基礎,鬼面
Lv5,亂擊
Lv9,鬼面
Lv13,擊落
Lv17,踩踏
Lv21,重踏
Lv25,逐步擊破
Lv29,岩石爆擊
Lv33,直沖鑽
Lv37,猛撞
Lv41,尖石攻擊
Lv48,地震
Lv55,超級角擊
Lv62,角鑽
Lv69,岩石炮
HM05,吼叫
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM13,冰凍光束
HM14,暴風雪
HM15,破壞光線
HM17,守住
HM18,求雨
HM21,遷怒
HM23,擊落
HM24,十萬伏特
HM25,打雷
HM26,地震
HM27,報恩
HM31,劈瓦
HM32,影子分身
HM35,噴射火焰
HM37,沙暴
HM38,大字爆炎
HM39,岩石封鎖
HM42,硬撐
HM44,睡覺
HM45,迷人
HM46,小偷
HM48,輪唱
HM52,真氣彈
HM56,投擲
HM59,狂舞揮打
HM65,暗影爪
HM66,以牙還牙
HM67,修長之角
HM68,終極衝擊
HM69,岩石打磨
HM71,尖石攻擊
HM75,劍舞
HM78,重踏
HM80,岩崩
HM82,龍尾
HM84,毒擊
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM91,加農光炮
HM94,衝浪
HM100,密語
遺,冰凍牙
遺,咬碎
遺,撕裂爪
遺,攀岩
遺,火焰牙
遺,火箭頭錘
遺,耕地
遺,詛咒
遺,起死回生
遺,金屬爆炸
遺,鐵尾
遺,防守平分
遺,雙倍奉還
遺,雷電牙
遺,震級
遺,龍之俯衝
