學習條件,招式
未進化,電光一閃
基礎,守住
基礎,暴風
基礎,水炮
基礎,順風
基礎,浸水
基礎,叫聲
基礎,水槍
基礎,玩水
基礎,翅膀攻擊
Lv5,超音波
Lv8,翅膀攻擊
Lv12,白霧
Lv15,水之波動
Lv19,以牙還牙
Lv22,鹽水
Lv28,投擲
Lv33,蓄力
Lv33,吞下
Lv33,噴出
Lv39,羽棲
Lv44,順風
Lv50,水炮
Lv55,暴風
HM06,劇毒
HM07,冰雹
HM10,覺醒力量
HM13,冰凍光束
HM14,暴風雪
HM15,破壞光線
HM17,守住
HM18,求雨
HM19,羽棲
HM21,遷怒
HM27,報恩
HM32,影子分身
HM40,燕返
HM42,硬撐
HM44,睡覺
HM45,迷人
HM46,小偷
HM48,輪唱
HM49,回聲
HM51,鋼翼
HM55,熱水
HM56,投擲
HM58,自由落體
HM66,以牙還牙
HM68,終極衝擊
HM76,飛翔
HM87,虛張聲勢
HM88,夢話
HM89,急速折返
HM90,替身
HM94,衝浪
HM100,密語
遺,廣域防守
遺,拍落
遺,水流環
遺,浸水
遺,玩水
遺,白霧
遺,羽棲
遺,起風
遺,高速移動
遺,鹽水
遺,龍捲風
