學習條件,招式
基礎,滅亡之歌
基礎,預知未來
基礎,抓
基礎,佯攻
基礎,瞪眼
基礎,電光一閃
Lv4,瞪眼
Lv7,電光一閃
Lv10,追打
Lv13,挑釁
Lv16,咬住
Lv19,影子分身
Lv22,劈開
Lv25,劍舞
Lv29,暗襲要害
Lv33,看穿
Lv37,精神利刃
Lv41,搶先一步
Lv45,突襲
Lv49,旋風刀
Lv53,預知未來
Lv57,滅亡之歌
HM04,冥想
HM06,劇毒
HM07,冰雹
HM10,覺醒力量
HM11,大晴天
HM12,挑釁
HM13,冰凍光束
HM14,暴風雪
HM15,破壞光線
HM17,守住
HM18,求雨
HM21,遷怒
HM24,十萬伏特
HM25,打雷
HM27,報恩
HM30,暗影球
HM32,影子分身
HM35,噴射火焰
HM37,沙暴
HM38,大字爆炎
HM39,岩石封鎖
HM40,燕返
HM41,無理取鬧
HM42,硬撐
HM44,睡覺
HM45,迷人
HM46,小偷
HM48,輪唱
HM49,回聲
HM54,點到為止
HM57,充電光束
HM59,狂舞揮打
HM61,鬼火
HM65,暗影爪
HM66,以牙還牙
HM68,終極衝擊
HM71,尖石攻擊
HM73,電磁波
HM75,劍舞
HM77,自我暗示
HM80,岩崩
HM81,十字剪
HM85,食夢
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM95,大聲咆哮
HM97,惡之波動
HM100,密語
,
遺,出奇一擊
遺,嬉鬧
遺,惡意追擊
遺,意念頭錘
遺,懲罰
遺,捨身衝撞
遺,接棒
遺,搶先一步
遺,滅亡之歌
遺,禍不單行
遺,突襲
遺,詛咒
遺,超級角擊
遺,魔法反射
遺,黑色目光
