學習條件,招式
基礎,龍息
基礎,鬼面
Lv6,奇異之風
Lv10,原始之力
Lv15,劈開
Lv19,影子偷襲
Lv24,同命
Lv28,龍爪
Lv33,大地之力
Lv37,波導彈
Lv42,暗影爪
Lv46,暗影潛襲
Lv50,禍不單行
HM02,龍爪
HM04,冥想
HM05,吼叫
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM15,破壞光線
HM17,守住
HM18,求雨
HM20,神秘守護
HM21,遷怒
HM24,十萬伏特
HM25,打雷
HM26,地震
HM27,報恩
HM29,精神強念
HM30,暗影球
HM32,影子分身
HM40,燕返
HM42,硬撐
HM44,睡覺
HM48,輪唱
HM49,回聲
HM51,鋼翼
HM53,能量球
HM57,充電光束
HM59,狂舞揮打
HM61,鬼火
HM65,暗影爪
HM66,以牙還牙
HM68,終極衝擊
HM71,尖石攻擊
HM73,電磁波
HM76,飛翔
HM77,自我暗示
HM78,重踏
HM82,龍尾
HM85,食夢
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM97,惡之波動
HM100,密語
,
教,流星群
