學習條件,招式
基礎,飛葉風暴
基礎,瞪眼
基礎,起風
基礎,生長
基礎,飛葉快刀
Lv6,甜甜香氣
Lv10,踩踏
Lv16,魔法葉
Lv21,吹飛
Lv26,青草攪拌器
Lv30,自然之恩
Lv36,空氣斬
Lv41,泰山壓頂
Lv46,傳遞禮物
Lv50,光合作用
Lv56,日光束
Lv61,飛葉風暴
HM05,吼叫
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM15,破壞光線
HM17,守住
HM19,羽棲
HM20,神秘守護
HM21,遷怒
HM22,日光束
HM26,地震
HM27,報恩
HM32,影子分身
HM40,燕返
HM42,硬撐
HM44,睡覺
HM45,迷人
HM48,輪唱
HM51,鋼翼
HM53,能量球
HM59,狂舞揮打
HM68,終極衝擊
HM75,劍舞
HM76,飛翔
HM78,重踏
HM86,打草結
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM96,自然之力
HM100,密語
,
遺,光合作用
遺,寄生種子
遺,摔打
遺,旋風刀
遺,種子機關槍
遺,自然之力
遺,自然之恩
遺,葉刃
遺,詛咒
遺,頭錘
遺,飛葉風暴
遺,龍之舞
