學習條件,招式
基礎,子彈拳
基礎,臂錘
基礎,下盤踢
基礎,找夥伴
基礎,撞擊
基礎,瞪眼
基礎,猛推
基礎,自我激勵
Lv7,猛推
Lv10,自我激勵
Lv12,空手劈
Lv15,連續拳
Lv20,劈開
Lv25,巴投
Lv27,借力摔
Lv35,泰山壓頂
Lv42,咬碎
Lv45,找夥伴
Lv48,拋下狠話
Lv52,沖天拳
Lv57,下盤踢
Lv65,挑釁
Lv70,臂錘
HM01,自我激勵
HM02,龍爪
HM05,吼叫
HM06,劇毒
HM08,健美
HM10,覺醒力量
HM11,大晴天
HM12,挑釁
HM15,破壞光線
HM17,守住
HM18,求雨
HM21,遷怒
HM26,地震
HM27,報恩
HM31,劈瓦
HM32,影子分身
HM36,污泥炸彈
HM39,岩石封鎖
HM40,燕返
HM41,無理取鬧
HM42,硬撐
HM44,睡覺
HM45,迷人
HM46,小偷
HM47,下盤踢
HM48,輪唱
HM49,回聲
HM52,真氣彈
HM54,點到為止
HM56,投擲
HM60,延後
HM63,查封
HM65,暗影爪
HM66,以牙還牙
HM68,終極衝擊
HM71,尖石攻擊
HM75,劍舞
HM78,重踏
HM80,岩崩
HM81,十字剪
HM83,死纏爛打
HM84,毒擊
HM86,打草結
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM94,衝浪
HM95,大聲咆哮
HM97,惡之波動
HM100,密語
遺,囂張
遺,山嵐摔
遺,延後
遺,快速防守
遺,搶先一步
遺,欺詐
