學習條件,招式
基礎,瞪眼
基礎,抓
Lv4,識破
Lv6,黑夜魔影
Lv9,驚嚇
Lv11,亂抓
Lv14,看穿
Lv16,影子偷襲
Lv19,出奇一擊
Lv21,擊掌奇襲
Lv24,懲罰
Lv26,拍落
Lv29,暗影爪
Lv31,奇異之光
Lv34,意念頭錘
Lv36,力量寶石
Lv39,暗影球
Lv41,欺詐
Lv44,延後
Lv46,黑色目光
HM04,冥想
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM12,挑釁
HM17,守住
HM18,求雨
HM21,遷怒
HM27,報恩
HM29,精神強念
HM30,暗影球
HM31,劈瓦
HM32,影子分身
HM39,岩石封鎖
HM40,燕返
HM41,無理取鬧
HM42,硬撐
HM44,睡覺
HM45,迷人
HM46,小偷
HM47,下盤踢
HM48,輪唱
HM56,投擲
HM60,延後
HM61,鬼火
HM63,查封
HM65,暗影爪
HM66,以牙還牙
HM77,自我暗示
HM84,毒擊
HM85,食夢
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM95,大聲咆哮
HM97,惡之波動
HM99,魔法閃耀
HM100,密語
遺,佯攻
遺,吹捧
遺,封印
遺,戲法
遺,月光
遺,突襲
遺,自我再生
遺,詭計
遺,誘惑
遺,金屬爆炸
遺,黑色目光
