學習條件,招式
基礎,食夢
基礎,神鳥猛擊
基礎,撞擊
基礎,叫聲
基礎,識破
基礎,催眠術
Lv4,催眠術
Lv7,啄
Lv10,念力
Lv13,回聲
Lv16,意念頭錘
Lv19,精神轉移
Lv23,神通力
Lv27,猛撞
Lv31,反射壁
Lv35,空氣斬
Lv39,吵鬧
Lv43,羽棲
Lv47,月亮之力
Lv51,同步干擾
Lv55,食夢
HM01,自我激勵
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM15,破壞光線
HM17,守住
HM18,求雨
HM19,羽棲
HM21,遷怒
HM27,報恩
HM29,精神強念
HM30,暗影球
HM32,影子分身
HM33,反射壁
HM40,燕返
HM42,硬撐
HM44,睡覺
HM45,迷人
HM46,小偷
HM48,輪唱
HM49,回聲
HM51,鋼翼
HM68,終極衝擊
HM76,飛翔
HM77,自我暗示
HM85,食夢
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM100,密語
遺,出奇一擊
遺,吹飛
遺,清除濃霧
遺,神鳥猛擊
遺,羽毛舞
遺,翅膀攻擊
遺,超音波
遺,高速移動
遺,鸚鵡學舌
遺,黑夜魔影
