學習條件,招式
未進化,鎖定
基礎,章魚桶炮
基礎,垃圾射擊
基礎,岩石爆擊
基礎,水槍
基礎,纏繞
基礎,幻象光線
基礎,極光束
Lv6,纏繞
Lv10,幻象光線
Lv14,極光束
Lv18,泡沫光線
Lv22,聚氣
Lv28,絞緊
Lv34,信號光束
Lv40,冰凍光束
Lv46,種子機關槍
Lv52,水炮
Lv58,破壞光線
Lv64,浸水
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM13,冰凍光束
HM14,暴風雪
HM15,破壞光線
HM17,守住
HM18,求雨
HM21,遷怒
HM23,擊落
HM27,報恩
HM29,精神強念
HM32,影子分身
HM34,污泥波
HM35,噴射火焰
HM36,污泥炸彈
HM38,大字爆炎
HM42,硬撐
HM44,睡覺
HM45,迷人
HM46,小偷
HM48,輪唱
HM53,能量球
HM55,熱水
HM57,充電光束
HM66,以牙還牙
HM68,終極衝擊
HM73,電磁波
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM91,加農光炮
HM94,衝浪
HM98,攀瀑
HM100,密語
,
遺,刺耳聲
遺,噴水
遺,岩石爆擊
遺,打鼾
遺,找夥伴
遺,抓狂
遺,極光束
遺,水之波動
遺,泥巴射擊
遺,章魚桶炮
遺,超音波
遺,酸液炸彈
遺,高速星星
遺,黑霧
