學習條件,招式
基礎,鏡面屬性
基礎,絞緊
基礎,毒針
基礎,超音波
基礎,纏繞
基礎,溶解液
Lv4,超音波
Lv7,纏繞
Lv10,溶解液
Lv13,毒菱
Lv16,水之波動
Lv19,緊束
Lv22,酸液炸彈
Lv25,泡沫光線
Lv28,屏障
Lv32,毒擊
Lv36,鹽水
Lv40,刺耳聲
Lv44,禍不單行
Lv48,污泥波
Lv52,水炮
Lv56,絞緊
HM06,劇毒
HM07,冰雹
HM09,毒液衝擊
HM10,覺醒力量
HM13,冰凍光束
HM14,暴風雪
HM15,破壞光線
HM17,守住
HM18,求雨
HM20,神秘守護
HM21,遷怒
HM27,報恩
HM32,影子分身
HM34,污泥波
HM36,污泥炸彈
HM42,硬撐
HM44,睡覺
HM45,迷人
HM46,小偷
HM48,輪唱
HM55,熱水
HM66,以牙還牙
HM68,終極衝擊
HM75,劍舞
HM83,死纏爛打
HM84,毒擊
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM94,衝浪
HM98,攀瀑
HM99,魔法閃耀
HM100,密語
,
遺,奇異之光
遺,拍落
遺,撓癢
遺,極光束
遺,水流環
遺,泡沫
遺,濁流
遺,鏡面反射
遺,高速旋轉
遺,黑霧
遺,點穴
