學習條件,招式
未進化,偷懶
基礎,治癒波動
基礎,力量寶石
基礎,覺醒力量
基礎,詛咒
基礎,哈欠
基礎,撞擊
Lv5,叫聲
Lv9,水槍
Lv14,念力
Lv19,定身法
Lv23,頭錘
Lv28,水之波動
Lv32,意念頭錘
Lv36,詭計
Lv41,虛張聲勢
Lv45,精神強念
Lv49,王牌
Lv54,自我暗示
Lv58,治癒波動
HM03,精神衝擊
HM04,冥想
HM06,劇毒
HM07,冰雹
HM10,覺醒力量
HM11,大晴天
HM13,冰凍光束
HM14,暴風雪
HM15,破壞光線
HM16,光牆
HM17,守住
HM18,求雨
HM20,神秘守護
HM21,遷怒
HM26,地震
HM27,報恩
HM29,精神強念
HM30,暗影球
HM31,劈瓦
HM32,影子分身
HM35,噴射火焰
HM38,大字爆炎
HM42,硬撐
HM44,睡覺
HM45,迷人
HM48,輪唱
HM49,回聲
HM52,真氣彈
HM55,熱水
HM56,投擲
HM60,延後
HM68,終極衝擊
HM73,電磁波
HM77,自我暗示
HM78,重踏
HM82,龍尾
HM85,食夢
HM86,打草結
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM92,戲法空間
HM94,衝浪
HM100,密語
遺,夢話
遺,奇妙空間
遺,意念頭錘
遺,打嗝
遺,打鼾
遺,搶先一步
遺,擋路
遺,玩泥巴
遺,腹鼓
遺,踩踏
遺,預知未來
