學習條件,招式
基礎,花瓣舞
基礎,落英繽紛
基礎,撞擊
基礎,叫聲
基礎,飛葉快刀
基礎,毒粉
Lv6,飛葉快刀
Lv9,毒粉
Lv12,光合作用
Lv18,反射壁
Lv22,魔法葉
Lv26,自然之恩
Lv34,甜甜香氣
Lv40,光牆
Lv46,泰山壓頂
Lv54,神秘守護
Lv60,芳香治療
Lv66,日光束
Lv70,落英繽紛
HM01,自我激勵
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM15,破壞光線
HM16,光牆
HM17,守住
HM20,神秘守護
HM21,遷怒
HM22,日光束
HM26,地震
HM27,報恩
HM32,影子分身
HM33,反射壁
HM42,硬撐
HM44,睡覺
HM45,迷人
HM48,輪唱
HM49,回聲
HM53,能量球
HM68,終極衝擊
HM75,劍舞
HM78,重踏
HM82,龍尾
HM86,打草結
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM96,自然之力
HM100,密語
遺,原始之力
遺,寄生種子
遺,抓狂
遺,治癒波動
遺,泰山壓頂
遺,煥然一新
遺,紮根
遺,絞緊
遺,自然之力
遺,芳香治療
遺,草笛
遺,藤鞭
遺,雙倍奉還
遺,青草場地
遺,飛葉風暴
教,瘋狂植物
教,草之誓約
