學習條件,招式
基礎,高速移動
基礎,盤蜷
基礎,抓
基礎,識破
基礎,變圓
基礎,電光一閃
Lv4,變圓
Lv7,電光一閃
Lv13,亂抓
Lv17,幫助
Lv21,看我嘛
Lv28,摔打
Lv32,睡覺
Lv36,突襲
Lv42,瞬間失憶
Lv46,接棒
Lv50,搶先一步
Lv56,巨聲
HM01,自我激勵
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM13,冰凍光束
HM14,暴風雪
HM15,破壞光線
HM17,守住
HM18,求雨
HM21,遷怒
HM22,日光束
HM24,十萬伏特
HM25,打雷
HM27,報恩
HM30,暗影球
HM31,劈瓦
HM32,影子分身
HM35,噴射火焰
HM42,硬撐
HM44,睡覺
HM45,迷人
HM46,小偷
HM48,輪唱
HM49,回聲
HM52,真氣彈
HM56,投擲
HM57,充電光束
HM59,狂舞揮打
HM65,暗影爪
HM68,終極衝擊
HM86,打草結
HM87,虛張聲勢
HM88,夢話
HM89,急速折返
HM90,替身
HM94,衝浪
HM100,密語
,
遺,借助
遺,劈開
遺,戲法
遺,捨身衝撞
遺,撒嬌
遺,渴望
遺,珍藏
遺,聚氣
遺,自然之恩
遺,誘惑
遺,起死回生
遺,追打
遺,鐵尾
