學習條件,招式
基礎,抓
基礎,瞪眼
Lv5,電光一閃
Lv8,連斬
Lv12,追打
Lv15,磨爪
Lv19,劈開
Lv22,報復
Lv26,撕裂爪
Lv29,點到為止
Lv33,查封
Lv36,看穿
Lv40,十字剪
Lv43,挑釁
Lv47,劍舞
Lv50,近身戰
HM01,自我激勵
HM05,吼叫
HM06,劇毒
HM10,覺醒力量
HM11,大晴天
HM12,挑釁
HM13,冰凍光束
HM14,暴風雪
HM17,守住
HM18,求雨
HM21,遷怒
HM22,日光束
HM24,十萬伏特
HM25,打雷
HM27,報恩
HM30,暗影球
HM31,劈瓦
HM32,影子分身
HM35,噴射火焰
HM38,大字爆炎
HM39,岩石封鎖
HM40,燕返
HM42,硬撐
HM44,睡覺
HM45,迷人
HM46,小偷
HM48,輪唱
HM52,真氣彈
HM54,點到為止
HM56,投擲
HM63,查封
HM65,暗影爪
HM66,以牙還牙
HM75,劍舞
HM80,岩崩
HM81,十字剪
HM84,毒擊
HM87,虛張聲勢
HM88,夢話
HM90,替身
HM100,密語
,
遺,亂抓
遺,二連擊
遺,二連踢
遺,佯攻
遺,定身法
遺,快速防守
遺,抓狂
遺,搏命
遺,旋風刀
遺,暗襲要害
遺,詛咒
遺,金屬爪
遺,鐵尾
遺,雙倍奉還
